asctime,asctime,0,tm構造体を文字列へ変換,
clock,clock,0,プログラム実行開始からの経過時間（プロセッサ時間）を取得,
ctime,ctime,0,日付と時刻を文字列へ変換,
difftime,difftime,0,２つの時間の差（秒単位）を算出,
gmtime,gmtime,0,tm構造体（グリニッジ時間）への変換,
localtime,localtime,0,tm構造体（日本時間）への変換,
mktime,mktime,0,tm構造体を time_t型に変換,
time,time,0,現在時刻の取得,
calloc,calloc,0,指定バイト分のメモリ領域をn個分確保,
free,free,0,メモリ領域の解放,
malloc,malloc,0,指定バイト分のメモリ領域を確保,
realloc,realloc,0,メモリの割り当てを変更する,
rand,rand,0,擬似乱数を返却,
srand,srand,0,擬似乱数の発生系列を変更する,
clearerr,clearerr,0,エラー状態のクリア,
fclose,fclose,0,ファイルのクローズ,
feof,feof,0,ファイル終了の検知,
ferror,ferror,0,ファイルエラーの検知,
fflush,fflush,0,バッファのフラッシュ,
fgetc,fgetc,0,ファイルから１文字を取得,
fgetpos,fgetpos,0,ファイル位置の取得,
fgets,fgets,0,ファイルから１行文字列を取得,
fopen,fopen,0,ファイルのオープン,
fprintf,fprintf,0,ファイルへ書式付で出力,
fputc,fputc,0,ファイルへ１文字出力,
fputs,fputs,0,ファイルへ１行文字列を出力,
fread,fread,0,ファイルから size バイトのデータを n 個読み込み,
freopen,freopen,0,新たにファイルをオープンし、ストリームと結びつける,
fscanf,fscanf,0,ファイルから書式付で入力,
fseek,fseek,0,ファイル位置指示子の設定,
fsetpos,fsetpos,0,ファイル位置の設定,
fwrite,fwrite,0,ファイルへ size バイトのデータを n 個書き込み,
getc,getc,0,ファイルから１文字を取得（マクロ）,
getchar,getchar,0,標準入力から１文字を取得,
gets,gets,0,標準入力から１行文字列を取得,
perror,perror,0,システムエラーメッセージの出力,
printf,printf,0,標準出力へ書式付で出力,
putc,putc,0,ファイルへ１文字出力（マクロ）,
putchar,putchar,0,標準出力へ１文字出力,
puts,puts,0,標準出力へ１行文字列を出力,
remove,remove,0,ファイルを削除する,
rename,rename,0,ファイル名を変更する,
rewind,rewind,0,ファイル位置指示子を先頭に戻す,
scanf,scanf,0,標準入力から書式付で入力,
setbuf,setbuf,0,入出力バッファの設定,
setvbuf,setvbuf,0,モード指定による入出力バッファの設定,
sprintf,sprintf,0,書式指定変換した出力を文字列に格納,
sscanf,sscanf,0,文字列から書式指定にしたがい入力,
memchr,memchr,0,文字を n バイト中から検索する,
memcmp,memcmp,0,n バイトメモリブロックの比較,
memcpy,memcpy,0,n バイトメモリブロックのコピー,
memmove,memmove,0,n バイトメモリブロックの移動,
memset,memset,0,n バイトメモリブロックのセット,
strcat,strcat,0,文字列の連結,
strchr,strchr,0,文字列の先頭から文字を検索する,
strcmp,strcmp,0,文字列の比較,
strcpy,strcpy,0,文字列のコピー,
strcspn,strcspn,0,文字列から文字群が含まれない長さを求める,
strerror,strerror,0,エラー番号に対応するエラーメッセージを得る,
strlen,strlen,0,文字列の長さの取得,
strncat,strncat,0,文字列を n 文字連結,
strncmp,strncmp,0,文字列を n 文字比較,
strncpy,strncpy,0,文字列を n 文字コピー,
strpbrk,strpbrk,0,文字列から文字群が見つかった位置を求める,
strrchr,strrchr,0,文字列の最後から文字を検索する,
strspn,strspn,0,文字列から文字群が含まれる長さを求める,
strstr,strstr,0,文字列１から文字列２を検索,
strtok,strtok,0,文字列を区切り文字で分解する,
isalnum,isalnum,0,文字が英数字（A～Z、a～z、0～9）か検査,
isalpha,isalpha,0,文字が英文字（A～Z、a～z）か検査,
iscntrl,iscntrl,0,文字が制御文字（0x00～0x1f、0x7f）か検査,
isdigit,isdigit,0,文字が数字（0～9）か検査,
isgraph,isgraph,0,文字が空白を除く印字可能文字(0x21～0x7e）か検査,
islower,islower,0,文字が英小文字（a～z）か検査,
isprint,isprint,0,文字が印字可能文字（0x20～0x7e）か検査,
ispunct,ispunct,0,文字が区切り文字（0x21～0x2f、0x3a～0x40、0x5b～0x60、0x7b～0x7e）か検査,
isspace,isspace,0,文字 c が空白、タブ、復帰、改行、垂直タブ、改頁（0x09～0x0d、0x20）か検査,
isupper,isupper,0,文字が英大文字（A～Z）か検査,
isxdigit,isxdigit,0,文字が16進表示文字（0～9、A～F、a～f）か検査,
tolower,tolower,0,大文字なら、小文字に変換,
toupper,toupper,0,小文字なら、大文字に変換,
acos,acos,0,アークコサイン値の返却,
asin,asin,0,アークサイン値の返却,
atan,atan,0,アークタンジェント値の返却,
atan2,atan2,0,y/x のアークタンジェント値の返却,
ceil,ceil,0,小数点以下切り上げ,
cos,cos,0,コサイン値の返却,
cosh,cosh,0,ハイパボリック コサインの返却,
exp,exp,0,指数関数 e の x乗を返却,
fabs,fabs,0,double型の絶対値を返却,
floor,floor,0,データ x を切り下げ返却,
fmod,fmod,0,x / y の余りを返却,
log,log,0,自然対数 log を返却,
log10,log10,0,常用対数 log10 を返却,
pow,pow,0,x の y乗を返却,
sin,sin,0,サイン値の返却,
sqrt,sqrt,0,x の平方根を返却,
tan,tan,0,タンジェント値の返却,
abs,abs,0,int型データ n の絶対値を int型で返却,
atof,atof,0,文字列を double型変数に変換して返却,
atoi,atoi,0,文字列を int型変数に変換して返却,
atol,atol,0,文字列を long型変数に変換して返却,
strtod,strtod,0,文字列をdouble値に変換（エラー検出あり）,
strtol,strtol,0,文字列をlong値に変換（エラー検出、基数指定あり）,
strtoul,strtoul,0,文字列をunsigned long値に変換（エラー検出、基数指定あり）,
